

module Memory
2018-03-10T09:40:07.377375+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T09:40:07.744218+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T09:40:08.103926+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T09:40:08.456815+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T09:40:08.837876+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T09:40:09.202616+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T09:40:09.562422+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T09:40:09.943883+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T09:40:10.367788+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T09:40:36.546838+09:00 module Memory
2018-03-10T09:40:40.920647+09:00 BinaryTest`testMask() -> OK
2018-03-10T09:40:41.33185+09:00 BinaryTest`testXor() -> OK
2018-03-10T09:40:41.681739+09:00 BinaryTest`testRshift() -> OK
2018-03-10T09:40:42.029503+09:00 BinaryTest`testLshift() -> OK
2018-03-10T09:40:42.452617+09:00 DataTest`test_oid2int() -> OK
2018-03-10T09:40:42.822867+09:00 DataTest`test_oid2float() -> OK
2018-03-10T09:40:43.190092+09:00 DataTest`test_oid2char() -> OK
2018-03-10T09:40:43.57512+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T09:40:44.110318+09:00 MemoryTest`test_align() -> OK
2018-03-10T09:40:44.626097+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T09:40:45.308961+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T09:40:45.936319+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T09:40:46.550648+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T09:40:47.106424+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T09:40:47.708541+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T09:40:48.291628+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T09:40:48.762817+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T09:40:49.260956+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T09:40:49.605886+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T09:40:49.967031+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T09:40:50.33759+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T09:40:50.692767+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T09:40:51.126326+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T09:40:51.500855+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T09:40:51.857017+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T09:40:52.298644+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T09:40:52.657029+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T09:40:53.03363+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T09:40:53.432325+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T09:40:53.79423+09:00 RegisterTest`testNamedRegisters() -> OK

[MANUALLY RUN ALL TESTS]
2018-03-10T09:49:24.689941+09:00 BinaryTest`testMask() -> OK
2018-03-10T09:49:25.126756+09:00 BinaryTest`testXor() -> OK
2018-03-10T09:49:25.532504+09:00 BinaryTest`testRshift() -> OK
2018-03-10T09:49:25.938681+09:00 BinaryTest`testLshift() -> OK
2018-03-10T09:49:26.35002+09:00 DataTest`test_oid2int() -> OK
2018-03-10T09:49:26.877678+09:00 DataTest`test_oid2float() -> OK
2018-03-10T09:49:27.359433+09:00 DataTest`test_oid2char() -> OK
2018-03-10T09:49:27.765261+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T09:49:28.165033+09:00 MemoryTest`test_align() -> OK
2018-03-10T09:49:28.768346+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T09:49:29.372952+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T09:49:29.925575+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T09:49:30.523603+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T09:49:31.095872+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T09:49:31.649233+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T09:49:32.196026+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T09:49:32.798092+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T09:49:33.248362+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T09:49:33.621677+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T09:49:34.004027+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T09:49:34.409592+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T09:49:34.818573+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T09:49:35.241799+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T09:49:35.720266+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T09:49:36.129888+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T09:49:36.599547+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T09:49:37.049994+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T09:49:37.443891+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T09:49:37.892992+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T09:49:38.313003+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:09:07.111534+09:00 module Data
2018-03-10T12:09:10.230075+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:09:10.439014+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:09:10.651248+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:09:10.88615+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:09:11.099429+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:09:11.305892+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:09:11.512567+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:09:11.719238+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:09:11.952826+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:09:12.417993+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:09:12.817683+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:09:13.282284+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:09:13.718303+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:09:14.113696+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:09:14.510394+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:09:15.020926+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:09:16.189003+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:09:16.790378+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:09:17.227448+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:09:17.517414+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:09:17.737546+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:09:18.03083+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:09:18.249623+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:09:18.481485+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:09:18.732554+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:09:19.108878+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:09:19.871358+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:09:20.266959+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:09:20.540504+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:09:20.804394+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:11:25.848457+09:00 module Instruction
2018-03-10T12:11:29.671681+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:11:30.055119+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:11:30.408808+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:11:30.753764+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:11:31.129057+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:11:31.489509+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:11:31.872017+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:11:32.233808+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:11:33.767058+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:11:34.306208+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:11:34.886677+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:11:35.517758+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:11:36.102042+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:11:36.702188+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:11:37.353113+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:11:37.904144+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:11:38.360425+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:11:38.81236+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:11:39.173427+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:11:39.534306+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:11:39.901157+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:11:40.361421+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:11:40.775374+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:11:41.139931+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:11:41.510332+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:11:41.878961+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:11:42.244409+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:11:42.603272+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:11:43.003637+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:11:43.361548+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:12:43.646949+09:00 module Memory
2018-03-10T12:12:49.017493+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:12:49.366829+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:12:49.710477+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:12:50.073513+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:12:50.42083+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:12:50.760988+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:12:51.140268+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:12:51.520755+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:12:51.928471+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:12:52.453788+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:12:52.990987+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:12:53.5408+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:12:54.078033+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:12:54.605225+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:12:55.136706+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:12:55.652268+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:12:56.081701+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:12:56.564557+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:12:57.10022+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:12:57.534483+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:12:57.892386+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:12:58.41808+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:12:58.912784+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:12:59.269043+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:12:59.632443+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:12:59.995786+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:13:00.437493+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:13:00.792561+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:13:01.192523+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:13:01.627957+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:14:21.359503+09:00 module Instruction
2018-03-10T12:14:28.122803+09:00 module Instruction
2018-03-10T12:14:31.371447+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:14:31.750339+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:14:32.158115+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:14:32.50831+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:14:32.893819+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:14:33.284256+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:14:33.644826+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:14:34.001338+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:14:34.356488+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:14:34.88237+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:14:35.411222+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:14:35.940466+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:14:36.470607+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:14:37.077237+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:14:37.648937+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:14:38.261321+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:14:38.662022+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:14:39.10191+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:14:39.519875+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:14:39.891989+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:14:40.284809+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:14:40.632144+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:14:41.015568+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:14:41.364617+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:14:41.728838+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:14:42.090368+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:14:42.473465+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:14:42.85634+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:14:43.302666+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:14:43.656369+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:16:46.374127+09:00 module Instruction
2018-03-10T12:16:53.055414+09:00 module Instruction
2018-03-10T12:17:05.008803+09:00 module Instruction
2018-03-10T12:17:30.394601+09:00 module Instruction
2018-03-10T12:17:36.415781+09:00 module Instruction
2018-03-10T12:17:39.686197+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:17:40.076031+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:17:40.419201+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:17:40.76949+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:17:41.122636+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:17:41.467662+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:17:41.932167+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:17:42.426333+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:17:42.808834+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:17:44.455916+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:17:45.030215+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:17:45.739164+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:17:46.273829+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:17:46.794798+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:17:47.523311+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:17:48.05377+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:17:48.52766+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:17:48.948784+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:17:49.303588+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:17:49.65458+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:17:50.023303+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:17:50.610777+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:17:50.98008+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:17:51.344918+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:17:53.858525+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:17:54.332823+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:17:54.698188+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:17:56.316334+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:17:56.798933+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:17:59.762576+09:00 module Memory
2018-03-10T12:18:00.308424+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:18:05.17304+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:18:05.56064+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:18:05.981118+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:18:06.330828+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:18:06.67828+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:18:07.040929+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:18:07.162207+09:00 module Memory
2018-03-10T12:18:08.137239+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:18:13.939189+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:18:14.519023+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:18:14.895912+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:18:15.489184+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:18:15.848896+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:18:16.213886+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:18:16.618093+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:18:17.069383+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:18:17.472387+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:18:18.202674+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:18:18.736475+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:18:19.416919+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:18:19.970381+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:18:20.493949+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:18:21.030512+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:18:21.614446+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:18:22.044778+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:18:22.505078+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:18:22.882807+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:18:23.239148+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:18:23.585621+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:18:23.946087+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:18:24.304712+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:18:24.719733+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:18:25.085881+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:18:25.372007+09:00 module Data
2018-03-10T12:18:25.548455+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:18:25.77003+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> Error: Error 3182: Name 'Data`clearTag' is not in scope in 'Instruction' (/Users/tomohiro/Desktop/ViennaTalk.app/Contents/Resources/VDMPad-spec-.BG2LD2NZ..vdm) at line 421:31

2018-03-10T12:18:26.139484+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:18:26.524356+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:18:26.897559+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:18:45.808742+09:00 module Data
2018-03-10T12:18:48.970309+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:18:50.305956+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:18:50.518276+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:18:50.730474+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:18:50.957453+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:18:51.24138+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:18:51.480251+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:18:51.695098+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:18:51.927439+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:18:52.311365+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:18:52.713397+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:18:53.117055+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:18:53.514646+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:18:54.826368+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:18:55.332666+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:18:55.789442+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:18:56.073253+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:18:56.338538+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:18:56.568+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:18:56.792789+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:18:57.175291+09:00 RegisterTest`testBoxAndReadFloat() -> OK
2018-03-10T12:18:57.388447+09:00 RegisterTest`testBoxAndReadChar() -> OK
2018-03-10T12:18:57.646307+09:00 RegisterTest`testBoxAndReadPointer() -> OK
2018-03-10T12:18:57.879357+09:00 RegisterTest`testWriteBoxedIntAndUbox() -> OK
2018-03-10T12:18:58.098687+09:00 RegisterTest`testWriteBoxedFloatAndUbox() -> OK
2018-03-10T12:18:58.312956+09:00 RegisterTest`testWriteBoxedCharAndUnbox() -> OK
2018-03-10T12:18:58.532024+09:00 RegisterTest`testWriteBoxedPointerAndUnbox() -> OK
2018-03-10T12:18:58.797849+09:00 RegisterTest`testWriteInvalidOopAndUnbox() -> OK
2018-03-10T12:18:59.051863+09:00 RegisterTest`testReferenceCount() -> OK
2018-03-10T12:18:59.326131+09:00 RegisterTest`testNamedRegisters() -> OK
2018-03-10T12:19:08.546963+09:00 module Instruction
2018-03-10T12:19:12.042208+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:19:12.25405+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:19:12.534662+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:19:13.047678+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:19:13.306284+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:19:13.52994+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:19:13.745788+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:19:13.96674+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:19:14.196985+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:19:14.623619+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:19:15.027094+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:19:15.401208+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:19:15.798285+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:19:16.199556+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:19:16.590076+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:19:16.968674+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:19:17.266761+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:19:17.749631+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:19:17.995194+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
2018-03-10T12:19:18.052872+09:00 module Data
2018-03-10T12:19:18.231963+09:00 RegisterTest`testBoxAndReadInt() -> OK
2018-03-10T12:19:21.316992+09:00 BinaryTest`testMask() -> OK
2018-03-10T12:19:21.524005+09:00 BinaryTest`testXor() -> OK
2018-03-10T12:19:21.728771+09:00 BinaryTest`testRshift() -> OK
2018-03-10T12:19:22.028901+09:00 BinaryTest`testLshift() -> OK
2018-03-10T12:19:22.235869+09:00 DataTest`test_oid2int() -> OK
2018-03-10T12:19:22.447128+09:00 DataTest`test_oid2float() -> OK
2018-03-10T12:19:22.65341+09:00 DataTest`test_oid2char() -> OK
2018-03-10T12:19:23.107881+09:00 DataTest`test_oid2pointer() -> OK
2018-03-10T12:19:23.323969+09:00 MemoryTest`test_align() -> OK
2018-03-10T12:19:23.706788+09:00 MemoryTest`test_basic_read() -> OK
2018-03-10T12:19:24.130811+09:00 MemoryTest`test_basic_write() -> OK
2018-03-10T12:19:24.511961+09:00 MemoryTest`test_basic_read_dword() -> OK
2018-03-10T12:19:24.922668+09:00 MemoryTest`test_basic_write_dword() -> OK
2018-03-10T12:19:25.304836+09:00 MemoryTest`test_basic_read_byte() -> OK
2018-03-10T12:19:25.688492+09:00 MemoryTest`test_basic_write_byte() -> OK
2018-03-10T12:19:26.125723+09:00 MemoryTest`test_allocate_free() -> OK
2018-03-10T12:19:26.396266+09:00 MemoryTest`test_referenceCount() -> OK
2018-03-10T12:19:26.647733+09:00 MemoryTest`test_read_write_slot() -> OK
2018-03-10T12:19:27.01898+09:00 RegisterTest`testWriteAndReadDifferentRegister() -> OK
